Websites,Underground / Above-ground,Type of Platform,Comment,Stage 0: collecting websites potentially selling accounts,stage 1 filtering: sells accounts?,Stage 2 filtering: are there handles?,stage 3 filtering: can we monitor it automatically?,stage 4: additional measures for automation,stage 5: additional manual collection
Incognito,Underground,Marketplace,This website does not sell Social Media Accounts,Found in Onion Directory for Mirrors,No social-related goods,,,,
Alias Market,Underground,Marketplace,This website does not sell Social Media Accounts,Found in Onion Directory for Mirrors,No social-related goods,,,,
Archetyp,Underground,Marketplace,This website does not sell Social Media Accounts,Found in Onion Directory for Mirrors,No social-related goods,,,,
City Market,Underground,Marketplace,This website does not sell Social Media Accounts,Found in Onion Directory for Mirrors,No social-related goods,,,,
Elysium,Underground,Marketplace,This website does not sell Social Media Accounts,Found in Onion Directory for Mirrors,No social-related goods,,,,
Fish Market,Underground,Marketplace,This website does not sell Social Media Accounts,Found in Onion Directory for Mirrors,No social-related goods,,,,
Pegasus Market,Underground,Marketplace,This website does not sell Social Media Accounts,Found in Onion Directory for Mirrors,No social-related goods,,,,
Abacus,Underground,Marketplace,This website does not sell Social Media Accounts,Malla,No social-related goods,,,,
Skyisthelimitservice@gmail.com​,//,Email,Source,Advertised on blackhat public forum,Private contacts are OoS,,,,
@BusinessAts on telegram,//,Telegram,Source,Advertised on blackhat public forum,Private contacts are OoS,,,,
@sheriff_x on telegram,//,Telegram,Source,Advertised on blackhat public forum,Private contacts are OoS,,,,
t.me/igexpertbhw,//,Telegram,Source,Advertised on blackhat public forum,Private contacts are OoS,,,,
t.me/lulpola,//,Telegram,Cited (Note: telegram based sale),Advertised on blackhat public forum,Private contacts are OoS,,,,
t.me/prudentagency11,//,Telegram,Source,Advertised on blackhat public forum,Private contacts are OoS,,,,
"gunnupg on Discord, gunnupgrades on Telegram",//,"Telegram, Discord",Source,Advertised on blackhat public forum,Private contacts are OoS,,,,
Whatsapp Number : +1 619 376 28 32,//,Whatsapp,Source,Advertised on blackhat public forum,Private contacts are OoS,,,,
@MaxRuslan369,//,,Source,Advertised on blackhat public forum,Private contacts are OoS,,,,
